run_tag,timestamp_utc,pblock,pblock_slice%,pblock_dsp%,slice_total,dsp_total,fmax_mhz,wns_ns,stage_count,muops,pcs,latencies
my_run_tag,2025-07-03T06:32:25Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL",,
my-run-tag,2025-07-03T06:36:11Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL",,
my-run-tag,2025-07-03T06:47:30Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x7f367c4cd94e,0x61e49ab37bd0,0x5b5b15ecd1f1","3,2,2,3"
my-run-tag,2025-07-03T06:54:10Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x7f367c4cd94e,0x61e49ab37bd0,0x5b5b15ecd1f1","3,2,2,3"
my-run-tag,2025-07-03T07:10:45Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x7f367c4cd94e,0x61e49ab37bd0,0x5b5b15ecd1f1","1,1,1,1"
my-run-tag,2025-07-03T07:39:58Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x7f367c4cd94e,0x61e49ab37bd0,0x5b5b15ecd1f1","3,2,2,3"
my-run-tag,2025-07-03T07:43:50Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x7f367c4cd94e,0x61e49ab37bd0,0x5b5b15ecd1f1","3,2,2,3"
my-run-tag,2025-07-03T07:44:41Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x7f367c4cd94e,0x61e49ab37bd0,0x5b5b15ecd1f1","1,1,1,1"
v-2,2025-07-05T02:23:18Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,"IMUL-ADD, AND-AND, DEC-SUB, INC-SHL","0x61ec7a61b01b,0x61ec7a61b027,0x7f367c4cd94e,0x7f367c4cda13,0x61e49ab37bd0,0x61e49ab37bd6,0x5b5b15ecd1f1,0x5b5b15ecd200","1,0,1,0,1,0,1,0"
v-2,2025-07-05T02:40:30Z,pblock_2,5.42,4.17,205,3,446.961,1.096,1+1+1+1,IMUL-ADD;AND-AND;IMUL-ADD;AND-AND;IMUL-ADD;AND-AND;IMUL-ADD;AND-AND,"0x61ec7a61b01b,0x61ec7a61b027,0x7f367c4cd94e,0x7f367c4cda13,0x61e49ab37bd0,0x61e49ab37bd6,0x5b5b15ecd1f1,0x5b5b15ecd200","1,0,1,0,1,0,1,0"
